# Time-averaged data for fix out_vacf
Step VACF_x VACF_y VACF_z VACF_total
2285 -0.231522 0.150908 -0.0610789 -0.141693
2290 -0.269524 0.161593 -0.0867425 -0.194674
2295 -0.283088 0.151172 -0.101962 -0.233878
2300 -0.272155 0.117543 -0.0939312 -0.248544
2305 -0.239591 0.0635277 -0.0590725 -0.235136
2310 -0.19492 -0.00350874 -0.00629254 -0.204721
2315 -0.153149 -0.0719805 0.0525398 -0.172589
2320 -0.12595 -0.127422 0.110937 -0.142435
2325 -0.114642 -0.158093 0.164882 -0.107853
2330 -0.112407 -0.161855 0.206376 -0.0678864
2335 -0.109436 -0.148592 0.221686 -0.0363418
2340 -0.0974992 -0.132154 0.198743 -0.0309107
2345 -0.0718092 -0.118316 0.139638 -0.0504873
2350 -0.0314408 -0.103657 0.0622283 -0.0728691
2355 0.0205729 -0.0831623 -0.0142991 -0.0768885
2360 0.0770054 -0.0529989 -0.0800064 -0.0559999
2365 0.128236 -0.00930748 -0.13068 -0.011752
2370 0.167866 0.0462982 -0.161981 0.052183
2375 0.194069 0.102322 -0.167606 0.128786
2380 0.207416 0.145367 -0.141769 0.211014
2385 0.207823 0.169933 -0.0873507 0.290405
2390 0.192826 0.176513 -0.0184591 0.35088
2395 0.163128 0.167054 0.0497685 0.379951
2400 0.127689 0.142872 0.107152 0.377712
2405 0.0976219 0.103125 0.145376 0.346123
2410 0.0767748 0.0487313 0.159471 0.284977
2415 0.0604992 -0.0141464 0.152509 0.198861
2420 0.0443801 -0.0752057 0.132036 0.10121
2425 0.030432 -0.122664 0.103942 0.0117097
2430 0.0229521 -0.149248 0.0701015 -0.0561946
2435 0.0196757 -0.153302 0.02868 -0.104946
2440 0.00962816 -0.136066 -0.0221273 -0.148565
2445 -0.0178777 -0.101386 -0.0790972 -0.19836
2450 -0.0626201 -0.0550486 -0.134552 -0.25222
2455 -0.114378 -0.00180311 -0.179174 -0.295355
2460 -0.163326 0.0540216 -0.202193 -0.311497
2465 -0.206795 0.103205 -0.196437 -0.300026
2470 -0.244609 0.13217 -0.162915 -0.275354
2475 -0.268606 0.132576 -0.108115 -0.244145
2480 -0.263278 0.104875 -0.0416797 -0.200083
2485 -0.216842 0.0548966 0.0260374 -0.135908
2490 -0.131113 -0.00745371 0.084833 -0.053734
2495 -0.0233081 -0.0670108 0.123358 0.033039
2500 0.0844387 -0.107215 0.130146 0.10737
2505 0.176809 -0.116194 0.0971566 0.157771
2510 0.249012 -0.0902021 0.0276252 0.186435
2515 0.299881 -0.0338551 -0.0598547 0.206171
2520 0.323847 0.0394543 -0.141098 0.222203
2525 0.312376 0.11338 -0.201271 0.224485
2530 0.262832 0.175458 -0.237332 0.200957
2535 0.184114 0.217009 -0.249999 0.151124
2540 0.0912625 0.231319 -0.237467 0.0851141
2545 -0.00389488 0.214542 -0.200632 0.0100148
2550 -0.0954113 0.168886 -0.150928 -0.077453
2555 -0.174982 0.104946 -0.107451 -0.177487
2560 -0.230176 0.0407556 -0.0831737 -0.272594
2565 -0.255473 -0.00645177 -0.0755306 -0.337455
2570 -0.259626 -0.029754 -0.0726566 -0.362036
2575 -0.257991 -0.030674 -0.0687003 -0.357365
2580 -0.260575 -0.0133057 -0.0648705 -0.338751
2585 -0.269503 0.0156443 -0.0596971 -0.313556
2590 -0.281071 0.0463951 -0.046481 -0.281157
